epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.67667,1.1313,3.15458,1.49024,0.00333,1,0.22456,0.19663,0.45867,3.43529,0.90802,0,0,0
2,9.65317,1.52067,3.20383,1.82457,0.00333,1,0.22422,0.19646,0.45679,3.42304,0.89934,1.9604e-05,1.9604e-05,1.9604e-05
3,14.0744,0.72184,3.03881,1.17714,0.00333,1,0.2238,0.20553,0.41693,3.4129,0.87216,3.8416e-05,3.8416e-05,3.8416e-05
4,18.3569,0.91664,3.19289,1.27665,0.00333,1,0.25716,0.22483,0.4078,3.38951,0.8472,5.6436e-05,5.6436e-05,5.6436e-05
5,22.5977,0.73116,2.94865,1.26388,0.00333,1,0.27771,0.22544,0.4245,3.37816,0.84701,7.3664e-05,7.3664e-05,7.3664e-05
6,26.8063,0.74596,2.73445,1.29866,0.00333,1,0.30226,0.25367,0.46927,3.36835,0.86204,9.01e-05,9.01e-05,9.01e-05
7,31.0246,0.68326,2.67907,1.1931,0.00333,1,0.29913,0.26477,0.48513,3.36944,0.87057,0.000105744,0.000105744,0.000105744
8,35.2342,0.791,2.55053,1.22802,0.00333,1,0.30237,0.26479,0.52951,3.34649,0.87753,0.000120596,0.000120596,0.000120596
9,39.4038,0.67347,2.55952,1.28138,0.00333,1,0.30139,0.27083,0.5393,3.29333,0.87135,0.000134656,0.000134656,0.000134656
10,43.6249,0.72039,2.59713,1.27125,0.00333,1,0.30115,0.272,0.50574,3.24588,0.87029,0.000147924,0.000147924,0.000147924
11,47.8344,0.52529,2.03603,1.14208,0.00333,1,0.30561,0.27849,0.52225,3.18853,0.87581,0.0001604,0.0001604,0.0001604
12,52.048,0.64897,2.29161,1.20867,0.00333,1,0.33717,0.3108,0.4958,3.15192,0.88417,0.000172084,0.000172084,0.000172084
13,56.2827,0.72576,1.98992,1.19354,0.00333,1,0.40096,0.36708,0.49002,3.12842,0.89444,0.000182976,0.000182976,0.000182976
14,60.5702,0.60867,1.8631,1.14503,0.00333,1,0.42796,0.39745,0.51541,3.13679,0.90068,0.000193076,0.000193076,0.000193076
15,64.7796,0.61994,1.75328,1.16347,0.00333,1,0.41588,0.3566,0.53031,3.12633,0.91613,0.000202384,0.000202384,0.000202384
16,68.9899,0.59204,1.53949,1.07556,0.00333,1,0.4732,0.38572,0.53052,3.13491,0.93346,0.0002109,0.0002109,0.0002109
17,73.1733,0.56328,1.76529,1.08583,0.00333,1,0.46554,0.38893,0.55059,3.15247,0.98115,0.000218624,0.000218624,0.000218624
18,77.4123,0.54603,2.04596,1.0898,0.00333,1,0.46554,0.38893,0.55059,3.15247,0.98115,0.000225556,0.000225556,0.000225556
19,81.5901,0.59626,1.81545,1.07981,0.00333,1,0.48494,0.40643,0.60029,3.19073,1.04928,0.000231696,0.000231696,0.000231696
20,85.7962,0.67815,1.91809,1.12928,0.00333,1,0.48494,0.40643,0.60029,3.19073,1.04928,0.000237044,0.000237044,0.000237044
21,90.0234,0.57312,1.80897,1.13336,0.00333,1,0.49533,0.42446,0.64073,3.20806,1.11269,0.0002416,0.0002416,0.0002416
22,94.2219,0.62192,1.60769,1.16604,0.00333,1,0.49533,0.42446,0.64073,3.20806,1.11269,0.000245364,0.000245364,0.000245364
23,98.5491,0.61992,1.73486,1.06832,0.00333,1,0.51026,0.46275,0.60744,3.2057,1.12958,0.000248336,0.000248336,0.000248336
24,102.757,0.55872,1.5718,1.07824,0.00333,1,0.51026,0.46275,0.60744,3.2057,1.12958,0.000250516,0.000250516,0.000250516
25,106.994,0.66546,1.69281,1.16308,0.00333,1,0.52224,0.44737,0.57354,3.16351,1.10725,0.000251904,0.000251904,0.000251904
26,111.246,0.49596,2.08295,1.07063,0.00333,1,0.52224,0.44737,0.57354,3.16351,1.10725,0.0002525,0.0002525,0.0002525
27,115.51,0.48702,1.62262,1.01123,0.00333,1,0.52241,0.43659,0.58355,3.08399,1.12622,0.000252304,0.000252304,0.000252304
28,119.661,0.50059,1.54648,1.06974,0.00333,1,0.52241,0.43659,0.58355,3.08399,1.12622,0.000251316,0.000251316,0.000251316
29,123.863,0.57422,1.62456,1.05829,0.00333,1,0.52269,0.43657,0.61668,3.00818,1.19518,0.000249536,0.000249536,0.000249536
30,128.021,0.48876,1.53049,1.0475,0.00333,1,0.52269,0.43657,0.61668,3.00818,1.19518,0.000246964,0.000246964,0.000246964
31,132.255,0.68555,1.72345,1.11479,0.00333,1,0.53576,0.43344,0.64639,2.98325,1.16509,0.0002436,0.0002436,0.0002436
32,136.465,0.55157,1.3242,1.11657,0.00333,1,0.53576,0.43344,0.64639,2.98325,1.16509,0.000239444,0.000239444,0.000239444
33,140.726,0.57454,1.8243,1.09419,0.00333,1,0.54894,0.47896,0.59084,3.0355,1.01357,0.000234496,0.000234496,0.000234496
34,145.007,0.48877,1.4446,1.11328,0.00333,1,0.54894,0.47896,0.59084,3.0355,1.01357,0.000228756,0.000228756,0.000228756
35,149.21,0.59314,1.46816,1.02621,0.00333,1,0.54938,0.50472,0.53276,3.03693,0.90765,0.000222224,0.000222224,0.000222224
36,153.391,0.57562,1.35745,1.05899,0.00333,1,0.54938,0.50472,0.53276,3.03693,0.90765,0.0002149,0.0002149,0.0002149
37,157.618,0.49165,1.39378,1.02264,0.00333,1,0.5497,0.48627,0.50928,3.0096,0.87119,0.000206784,0.000206784,0.000206784
38,161.881,0.49507,1.28481,1.01692,0.00333,1,0.5497,0.48627,0.50928,3.0096,0.87119,0.000197876,0.000197876,0.000197876
39,166.183,0.52316,1.41082,1.04966,0.00333,1,0.55023,0.48616,0.50653,2.99889,0.86346,0.000188176,0.000188176,0.000188176
40,170.347,0.47661,1.23193,1.07442,0.00333,1,0.55023,0.48616,0.50653,2.99889,0.86346,0.000177684,0.000177684,0.000177684
41,174.537,0.51935,2.03955,1.02529,0.00333,1,0.55102,0.49366,0.48863,2.96965,0.8574,0.0001664,0.0001664,0.0001664
42,178.725,0.51904,1.90777,1.13782,0.00333,1,0.55102,0.49366,0.48863,2.96965,0.8574,0.000154324,0.000154324,0.000154324
43,182.952,0.51588,1.89609,1.05723,0.00333,1,0.5513,0.50573,0.46544,2.96245,0.85057,0.000141456,0.000141456,0.000141456
44,187.153,0.41572,1.74343,1.04826,0.00333,1,0.5513,0.50573,0.46544,2.96245,0.85057,0.000127796,0.000127796,0.000127796
45,191.472,0.55784,1.87298,1.12128,0.00333,1,0.55101,0.51956,0.43493,2.96407,0.85846,0.000113344,0.000113344,0.000113344
46,195.812,0.62115,1.82194,1.14002,0.00333,1,0.55101,0.51956,0.43493,2.96407,0.85846,9.81e-05,9.81e-05,9.81e-05
47,200.177,0.48305,1.87376,1.10392,0.00333,1,0.5508,0.51961,0.41879,2.95017,0.86974,8.2064e-05,8.2064e-05,8.2064e-05
48,204.499,0.47173,1.73843,1.13543,0.00333,1,0.5508,0.51961,0.41879,2.95017,0.86974,6.5236e-05,6.5236e-05,6.5236e-05
49,208.84,0.46008,2.0166,1.13664,0.00333,1,0.5512,0.51977,0.41306,2.93041,0.88359,4.7616e-05,4.7616e-05,4.7616e-05
50,212.958,0.51368,1.9122,0.96725,0.00333,1,0.5512,0.51977,0.41306,2.93041,0.88359,2.9204e-05,2.9204e-05,2.9204e-05
